Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp,Avg Resp,Min Resp,Max Resp
Road Cycling,2020-02-18 17:37:54,false,"Bang Phli Road Cycling","70.33","976","01:57:54","140","172","3.3","--","--","35.8","49.2","7","21","0.00","0.0","0.0","--","80","167","159","43% L / 57% R","53.8","169","138","667","0.0","0.0","9454","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2020-02-16 07:30:26,false,"Suan Phueng Road Cycling","67.77","1,213","02:23:20","143","181","3.7","--","--","28.4","58.7","748","755","0.00","0.0","0.0","--","80","168","177","--","80.5","167","141","712","0.0","0.0","10210","--","--","0:00","14.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2020-02-13 17:54:57,false,"Bang Phli Road Cycling","70.40","1,007","02:03:42","140","174","3.2","--","--","34.1","56.9","18","27","0.00","0.0","0.0","--","76","173","156","--","54.0","162","136","618","0.0","0.0","9354","--","--","0:00","27.0","0:00","No","37:07.26","3","0.0","--","--","--"
Road Cycling,2020-02-11 18:06:53,false,"Bang Phli Road Cycling","46.87","566","01:20:21","124","150","2.2","--","--","35.0","52.1","5","14","0.00","0.0","0.0","--","72","162","146","--","30.8","140","117","590","0.0","0.0","5771","--","--","0:00","28.0","0:00","No","00:00.00","1","0.0","--","--","--"
Road Cycling,2020-02-10 18:39:10,false,"Bang Phli Road Cycling","46.82","643","01:51:20","114","147","2.4","--","--","25.2","30.5","4","16","0.00","0.0","0.0","--","71","162","101","--","20.4","112","96","353","0.0","0.0","7745","--","--","0:00","28.0","0:00","No","55:26.13","2","0.0","--","--","--"
Road Cycling,2020-02-08 07:02:03,false,"Wiset Chai Chan Road Cycling","405.27","5,786","15:20:51","136","171","5.0","--","--","26.4","54.8","871","871","0.00","0.0","0.0","--","79","182","124","--","253.0","156","105","598","0.0","0.0","64665","--","--","0:00","22.0","0:00","No","01:33.50","3","0.0","--","--","--"
Road Cycling,2020-02-06 17:26:14,false,"Bang Phli Road Cycling","70.32","1,157","02:04:33","146","171","3.8","--","--","33.9","50.3","16","25","0.00","0.0","0.0","--","82","160","164","--","60.5","182","155","595","0.0","0.0","10129","--","--","0:00","26.0","0:00","No","38:37.50","3","0.0","--","--","--"
Road Cycling,2020-02-04 18:48:48,false,"Bang Phli Road Cycling","47.00","748","01:18:28","143","167","3.2","--","--","35.9","49.6","7","14","0.00","0.0","0.0","--","83","155","169","--","40.2","182","159","570","0.0","0.0","6496","--","--","0:00","26.0","0:00","No","00:09.49","3","0.0","--","--","--"
Walking,2020-02-03 20:09:08,false,"Lak Si Walking","1.20","93","00:16:04","113","129","0.8","84","121","13:21","11:40","1","3","0.90","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","02:23.96","2","0.0","--","--","--"
Running,2020-02-03 19:38:20,false,"Lak Si Running","5.02","293","00:29:16","144","165","3.2","162","168","5:50","4:52","3","8","1.06","0.0","0.0","--","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","0:00","28.0","0:00","No","00:04.57","6","0.0","--","--","--"
