Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Grit,Flow,Total Strokes,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
walking,2019-06-29 19:45:53,false,"Lak Si Other","6.74","164","01:24:48","84","117","1.1","--","--","12:35","3:35","--","7","1.46","0.0","0.0","--","--","--","45% L / 55% R","0.0","--","--","--","0.0","0.0","--","0:00","32.0","0:00","No","00:00.00","1","0.0"
cycling,2019-06-22 06:25:34,false,"Bang Phli Cycling","70.36","1,063","02:16:08","138","160","--","--","--","31.0","43.9","9","11","0.00","0.0","0.0","81","118","143","--","114.8","152","130","618","0.0","0.0","10861","0:00","26.0","0:00","No","00:00.00","1","0.0"
cycling,2019-06-20 17:52:11,false,"Bang Phli Cycling","70.29","559","02:04:39","133","167","--","--","--","33.8","52.8","7","13","0.00","0.0","0.0","80","168","90","16% L / 84% R","41.6","94","75","583","0.0","0.0","9839","0:00","26.0","0:00","No","00:01.34","4","0.0"
cycling,2019-06-19 18:15:32,false,"Bang Phli Cycling","70.35","933","02:03:04","138","169","--","--","--","34.3","53.9","4","20","0.00","0.0","0.0","85","163","149","38% L / 62% R","114.1","147","127","740","0.0","0.0","10371","0:00","20.0","0:00","No","00:01.20","4","0.0"
cycling,2019-06-18 17:48:52,false,"Bang Phli Cycling","70.46","923","01:59:57","135","182","--","--","--","35.2","57.8","6","13","0.00","0.0","0.0","78","175","167","45% L / 55% R","139.4","165","128","795","0.0","0.0","9279","0:00","26.0","0:00","No","00:00.77","4","0.0"
cycling,2019-06-16 06:20:43,false,"Bang Phli Cycling","93.74","906","02:38:26","128","157","--","--","--","35.5","54.4","10","14","0.00","0.0","0.0","71","181","122","51% L / 49% R","97.2","111","95","674","0.0","0.0","11046","0:00","23.0","0:00","No","00:00.00","1","0.0"
cycling,2019-06-15 07:00:12,false,"Nong Chok Cycling","217.09","2,728","07:57:38","140","173","--","--","--","27.3","49.1","316","290","0.00","0.0","0.0","76","179","118","50% L / 50% R","276.8","122","95","792","0.0","0.0","31264","0:00","25.0","0:00","No","00:00.00","1","0.0"
cycling,2019-06-13 18:49:52,false,"Bang Phli Cycling","47.18","790","01:34:22","141","163","--","--","--","30.0","44.0","11","17","0.00","0.0","0.0","84","143","151","43% L / 57% R","88.7","157","140","530","0.0","0.0","7884","0:00","27.0","0:00","No","47:08.50","2","0.0"
cycling,2019-06-12 18:01:37,false,"Bang Phli Cycling","46.89","--","01:30:56","139","140","--","--","--","30.9","54.3","97","96","0.00","0.0","0.0","86","181","--","--","0.0","--","--","--","0.0","0.0","--","0:00","0.0","0:00","No","00:00.00","1","0.0"
cycling,2019-06-11 18:05:12,false,"Bang Phli Cycling","70.35","1,063","02:00:31","149","179","--","--","--","35.0","53.9","8","18","0.00","0.0","0.0","83","181","169","44% L / 56% R","142.7","190","147","732","0.0","0.0","9976","0:00","24.0","0:00","No","00:04.82","4","0.0"
